a	ā,ə, yek
mats	mat, hesîr
mattress	ˈmatrəs, doşek
mattresses	ˈmatrəs, doşek
mature	-ˈt(y)o͝or,məˈCHo͝or, çêbû
maturer	adjective, çêbû
maturest	-ˈt(y)o͝or,məˈCHo͝or, çêbû
maturities	məˈCHo͝oritē,məˈt(y)o͝or-, gihîştî
maturity	məˈCHo͝oritē,məˈt(y)o͝or-, gihîştî
maxima	noun, zêdetir
maximum	ˈmaksəməm, zêdetir
maximums	ˈmaksəməm, zêdetir
May	mā, gûlan
may	mā, kanîn
may be	adverb, belkî
maybe	ˈmābē, belkî
mayor	ˈmāər, serokbajar
mayors	noun, serokbajar
Mays	verb, kanîn
mays	verb, kanîn
M E	pronoun, min
me	mē, min
meadow	ˈmedō, mêrg
meadows	noun, mêrg
meal	mēl, xwarin
meals	noun, xwarin
mean	mēn, manedan
meaner	adjective, dilxerab
meanest	adjective, dilxerab
meaning	ˈmēniNG, mane
meaningful	ˈmēniNGfəl, bimane
meaningless	ˈmēniNGlis, bêmane
meanings	noun, mane
means	mēnz, manedan
meant	verb, manedan
mean time	adverb, dinavber
meantime	ˈmēnˌtīm, dinavber
measure	ˈmeZHər, pîvok
measured	ˈmeZHərd, pîvan
measurement	ˈmeZHərmənt, pîvanî
measurements	noun, pîvanî
measures	noun, pîvok
measuring	verb, pîvan
meat	mēt, goşt
mechanic	məˈkanik, mekanîker
mechanical	məˈkanikəl, mekanîkî
mechanics	məˈkaniks, mekanîker
mechanism	ˈmekəˌnizəm, mekanîk
mechanisms	ˈmekəˌnizəm, mekanîk
medal	ˈmedl, xelat
medals	ˈmedl, xelat
media	ˈmēdēə, medya
mediate	, navberkirin
mediated	, navberkirin
mediates	verb, navberkirin
mediating	verb, navberkirin
medical	ˈmedikəl, pizişkî
medicine	ˈmedisən, derman
medicines	noun, derman
meditate	ˈmedəˌtāt, ponijîn
meditated	verb, ponijîn
meditates	ˈmedəˌtāt, ponijîn
meditating	verb, ponijîn
meditation	ˌmedəˈtāSHən, ponijînî
meditations	ˌmedəˈtāSHən, ponijînî
medium	ˈmēdēəm, maşe
mediums	noun, medya
meet	mēt, lihevrasthatin
meeting	ˈmētiNG, hevdîtinî
meetings	noun, hevdîtinî
meets	verb, lihevrasthatin
melodies	ˈmelədē, meqam
melody	ˈmelədē, meqam
melon	ˈmelən, petêx
melons	noun, petêx
melt	melt, helandin
melted	verb, helandin
melting	verb, helandin
melts	melt, helandin
member	ˈmembər, endam
membership	ˈmembərˌSHip, endamî
memberships	ˈmembərˌSHip, endamî
memorial	məˈmôrēəl, avahîya bîranînê
memorials	noun, avahîya bîranînê
memories	noun, bîr
memory	ˈmem(ə)rē, bîr
men	noun, mêr
mend	mend, serrastkirin
mended	verb, serrastkirin
mending	ˈmendiNG, serrastkirin
mends	verb, serrastkirin
menstruate	ˈmenstrəˌwāt,ˈmenˌstrāt, kinchatin
menstruated	ˈmenstrəˌwāt,ˈmenˌstrāt, kinchatin
menstruates	ˈmenstrəˌwāt,ˈmenˌstrāt, kinchatin
menstruating	verb, kinchatin
menstruation	menˈstrā-,ˌmenstro͞oˈāSHən, kinc
menstruations	menˈstrā-,ˌmenstro͞oˈāSHən, kinc
mental	ˈmentl, fêhmî
mention	ˈmenCHən, qalkirin
mentioned	verb, qalkirin
mentioning	verb, qalkirin
mentions	ˈmenCHən, qalkirin
menu	ˈmenyo͞o, qerta xûrekê
menus	ˈmenyo͞o, qerta xûrekê
merchandise	, mal
merchandises	, mal
merchant	ˈmərCHənt, tacîr
merchants	noun, tacîr
mercies	noun, efû
mercy	ˈmərsē, efû
merge	mərj, bihevkelyan
merged	verb, bihevkelyan
merger	ˈmərjər, bihevkelanî
mergers	ˈmərjər, bihevkelanî
merges	mərj, bihevkelyan
merging	verb, bihevkelyan
merit	ˈmerit, birin
merits	noun, birin
mermaid	ˈmərˌmād, deryajin
merrier	adjective, kêfxweş
merriest	adjective, kêfxweş
merry	ˈmerē, kêfxweş
message	ˈmesij, agah
messages	noun, agah
messenger	ˈmesənjər, agahbir
messengers	noun, agahbir
messier	ˈmesē, tevlihev
messiest	ˈmesē, tevlihev
messy	ˈmesē, tevlihev
metal	ˈmetl, hesinî
metals	noun, hesinî
meter	ˈmētər, jimarvan
meters	noun, jimarvan
method	ˈmeTHəd, awa
methods	noun, awa
metre	ˈmētər, jimarvan
microscope	ˈmīkrəˌskōp, mîkroskûp
microscopes	ˈmīkrəˌskōp, mîkroskûp
middle	ˈmidl, nav
Middle East	, rojhilata navîn
middle east	noun, rojhilata navîn
middles	ˈmidl, nav
midnight	ˈmidˌnīt, nîvşev
midnights	ˈmidˌnīt, nîvşev
might	mīt, erk
mightier	ˈmītē, erkî
mightiest	ˈmītē, erkî
mighty	ˈmītē, erkî
migrate	ˈmīˌgrāt, veqetîn
migrated	ˈmīˌgrāt, veqetîn
migrates	ˈmīˌgrāt, veqetîn
migrating	verb, veqetîn
mild	mīld, nerme
milder	mīld, nerme
mildest	mīld, nerme
mile	mīl, mîl
miles	noun, mîl
militant	ˈmilətənt, şervan
militants	ˈmilətənt, şervan
militaries	noun, leşker
military	ˈmiləˌterē, leşker
milk	milk, dotin
milked	milk, dotin
milking	verb, dotin
milks	milk, dotin
mill	mil, ardkirin
milled	verb, ardkirin
milling	verb, ardkirin
million	ˈmilyən, mêlûn
millionaire	ˈmilyəˌne(ə)r,ˌmilyəˈne(ə)r, melûnvan
millionaires	ˈmilyəˌne(ə)r,ˌmilyəˈne(ə)r, melûnvan
mills	verb, ardkirin
mind	mīnd, aqil
minds	mīnd, aqil
mine	mīn, zemî
mine field	noun, erdê mînê
minefield	ˈmīnˌfēld, erdê mînê
minefields	noun, erdê mînê
miner	ˈmīnər, akrkerê zemî
mineral	ˈmin(ə)rəl, zemî
minerals	noun, zemî
mines	noun, zemî
minima	noun, kêmtirîn
minimum	ˈminəməm, kêmtirîn
minimums	ˈminəməm, kêmtirîn
mining	ˈmīniNG, zemî
minister	ˈminəstər, keşe
ministers	noun, keşe
ministries	noun, wezaret
ministry	ˈminəstrē, wezaret
minorities	noun, kêmî
minority	məˈnôrətē, kêmî
minus	ˈmīnəs, kêmkir
minute	mīˈn(y)o͞ot,mə-,ˈminit, herî biçûk
minutest	adjective, herî biçûk
miracle	ˈmirikəl, mûcîze
miracles	ˈmirikəl, mûcîze
mirror	ˈmirər, neynik
mirrors	noun, neynik
miscarriage	misˈkarij,ˈmisˌkarij, zarok ji ber çûn
miscarriages	misˈkarij,ˈmisˌkarij, zarok ji ber çûn
miscellaneous	ˌmisəˈlānēəs, lihevket
misconduct	, lênegirtin
miserable	ˈmiz(ə)rəbəl, belengazî
miseries	noun, belengazî
misery	ˈmiz(ə)rē, belengazî
misinterpret	ˌmisinˈtərprət, nerastdîtin
misinterpreted	verb, nerastdîtin
misinterpreting	verb, nerastdîtin
misinterprets	ˌmisinˈtərprət, nerastdîtin
misleading	misˈlēdiNG, şaşrêkir
misplace	misˈplās, şermezarketin
misplaced	misˈplāst, şermezarketin
misplaces	verb, şermezarketin
misplacing	verb, şermezarketin
miss	mis, bedestnexistin
missed	verb, bedestnexistin
misses	verb, bedestnexistin
missile	ˈmisəl, rakêt
missiles	noun, rakêt
missing	ˈmisiNG, kêmket
mission	ˈmiSHən, pêkhatî
missionaries	ˈmiSHəˌnerē, şandar
missionary	ˈmiSHəˌnerē, şandar
missions	noun, pêkhatî
mist	mist, mij
mistake	məˈstāk, şaşî
mistakes	noun, şaşî
mistier	adjective, mijî
mistiest	adjective, mijî
mists	mist, mij
misty	ˈmistē, mijî
misunderstand	ˌmisˌəndərˈstand, şaştêgihîşten
misunderstanding	ˌmisˌəndərˈstandiNG, şaştêhihîştî
misunderstandings	noun, şaştêhihîştî
misunderstands	ˌmisˌəndərˈstand, şaştêgihîşten
misunderstood	verb, şaştêgihîşten
misuse	, bedkaranîn
misused	verb, bedkaranîn
misuses	verb, bedkaranîn
misusing	verb, bedkaranîn
mix	miks, lihevxitin
mixer	ˈmiksər, navhevxistok
mixers	ˈmiksər, navhevxistok
mixes	verb, lihevxitin
mixing	verb, lihevxitin
mixture	ˈmiksCHər, navhevketî
mixtures	ˈmiksCHər, navhevketî
moan	mōn, nalîn
moaned	verb, nalîn
moaning	verb, nalîn
moans	mōn, nalîn
mobile	, hejî
mobile phone	noun, dûrbihîstoka destan
mobilise	ˈmōbəˌlīz, seferberkirin
mobilised	verb, seferberkirin
mobilises	ˈmōbəˌlīz, seferberkirin
mobilising	verb, seferberkirin
mobilities	mōˈbilətē, hejînî
mobility	mōˈbilətē, hejînî
mobilize	ˈmōbəˌlīz, seferberkirin
mobilized	verb, seferberkirin
mobilizes	ˈmōbəˌlīz, seferberkirin
mobilizing	verb, seferberkirin
mode	mōd, awa
model	ˈmädl, cins
moderate	, navînî
modern	ˈmädərn, rojane
modernise	ˈmädərˌnīz, rojanekirin
modernised	verb, rojanekirin
modernises	ˈmädərˌnīz, rojanekirin
modernising	verb, rojanekirin
modernize	ˈmädərˌnīz, rojanekirin
modernized	verb, rojanekirin
modernizes	ˈmädərˌnīz, rojanekirin
modernizing	verb, rojanekirin
modes	noun, awa
modification	ˌmädəfəˈkāSHən, gûhertinî
modifications	noun, gûhertinî
modified	verb, gûhertin
modifies	ˈmädəˌfī, gûhertin
modify	ˈmädəˌfī, gûhertin
modifying	verb, gûhertin
moist	moist, şil
moister	moist, şil
moistest	moist, şil
moisture	ˈmoisCHər, şilî
molar	ˈmōlər, diranê paşî
molars	noun, diranê paşî
moldier	ˈmōldē, kifikî
moldiest	ˈmōldē, kifikî
moldy	ˈmōldē, kifikî
mole	mōl,ˈmōlā, şanik
moles	noun, şanik
moment	ˈmōmənt, evdem
momentary	ˈmōmənˌterē, tedrîcî
moments	noun, evdem
monasteries	ˈmänəˌsterē, dêr
monastery	ˈmänəˌsterē, dêr
Monday	-dē,ˈməndā, dûşem
Mondays	noun, dûşem
money	ˈmənē, dirav
money order	, hûkmê diravdayinê
moneys	noun, dirav
monies	noun, dirav
monitor	ˈmänətər, lê gûhdarkirin
monitored	verb, lê gûhdarkirin
monitoring	verb, lê gûhdarkirin
monitors	ˈmänətər, lê gûhdarkirin
monk	məNGk, keşîşê dêre
monkey	ˈməNGkē, meymûn
monkeys	noun, meymûn
monopolies	noun, yekdest
monopoly	məˈnäpəlē, yekdest
monster	ˈmänstər, wehş
monsters	noun, wehş
month	mənTH, meh
monthly	ˈmənTHlē, mehane
monument	ˈmänyəmənt, pût
monuments	noun, pût
mood	mo͞od, rewş
moods	noun, rewş
moon	mo͞on, hêv
moons	noun, hêv
moor	ˈmo͝or, avî
Moors	noun, avî
moors	noun, avî
moose	mo͞os, pezkûvî
mop	mäp, perpaş
mops	mäp, perpaş
moral	ˈmär-,ˈmôrəl, rûhî
moralities	noun, rûhane
morality	mô-,məˈralətē, rûhane
more	môr, zêde
morning	ˈmôrniNG, sib
mornings	noun, sib
mortar	ˈmôrtər, hors
mortars	ˈmôrtər, hors
mortgage	ˈmôrgij, dehnê ser mal
mortgages	noun, dehnê ser mal
mortuaries	ˈmôrCHo͞oˌerē, cesedxane
mortuary	ˈmôrCHo͞oˌerē, cesedxane
mosque	mäsk, camî
mosques	noun, camî
mosquito	məˈskētō, pêşû
mosquitoes	noun, pêşû
mosquitos	noun, pêşû
moss	môs, kefz
mosses	noun, kefz
most	mōst, zêdeyî
moth	môTH, xirik
mother	ˈməT͟Hər, dayik
mother in law	noun, xwesî
mother-in-law	, xwesî
mothers	noun, dayik
moths	noun, xirik
motion	ˈmōSHən, heraket
motionless	ˈmōSHənlis, bêhejan
motions	noun, heraket
motivate	ˈmōtəˌvāt, sorkirin
motivated	adjective, sorkirî
motivates	ˈmōtəˌvāt, sorkirin
motivating	verb, sorkirin
motivation	ˌmōtəˈvāSHən, sorkirinî
motivations	ˌmōtəˈvāSHən, sorkirinî
motive	ˈmōtiv, semed
motives	noun, semed
motor	ˈmōtər, motor
motorcycle	ˈmōtərˌsīkəl, hespê motorî
motorist	ˈmōtərist, tembêlajo
motorists	ˈmōtərist, tembêlajo
motors	noun, motor
motorway	ˈmōtərˌwā, otoban
motorways	noun, otoban
mouldier	ˈmōldē, kifikî
mouldiest	ˈmōldē, kifikî
mouldy	ˈmōldē, kifikî
mountain	ˈmountn, çîya
mourn	môrn, şîngirtin
mourned	verb, şîngirtin
mourning	ˈmôrniNG, şûn
mourns	môrn, şîngirtin
mouse	noun, mişk
moustache	məˈstaSH,ˈməsˌtaSH, simêl
moustaches	noun, simêl
mouth	noun, dev
mouthful	ˈmouTHˌfo͝ol, devtijî
mouthfuls	ˈmouTHˌfo͝ol, devtijî
mouths	noun, dev
movable	ˈmo͞ovəbəl, hejoke
move	mo͞ov, hejîn
moveable	adjective, hejoke
moved	verb, hejîn
movement	ˈmo͞ovmənt, hejînî
movements	noun, hejînî
moves	verb, hejîn
movie	ˈmo͞ovē, fîlm
movies	noun, fîlm
moving	ˈmo͞oviNG, hejîn
mow	mou,mō, gîhaçinîn
mowed	verb, gîhaçinîn
mowing	ˈmō-iNG, gîhaçinîn
mows	mou,mō, gîhaçinîn
much	məCH, pir
muck	mək, gemmar
mucus	ˈmyo͞okəs, xwezî
mud	məd, herrî
muds	məd, herrî
muffler	ˈməf(ə)lər, beroşk
mufflers	ˈməf(ə)lər, beroşk
muggier	ˈməgē, germî
muggiest	ˈməgē, germî
mugging	noun, şelandinî
muggy	ˈməgē, germî
mule	myo͞ol, ker
mules	noun, ker
multiple	ˈməltəpəl, pircar
multiplied	verb, zêdekirin
multiplies	ˈməltəplē,ˈməltəˌplī, zêdekirin
multiply	ˈməltəplē,ˈməltəˌplī, zêdekirin
multiplying	verb, zêdekirin
mumble	ˈməmbəl, berxwede axaftin
mumbled	ˈməmbəl, berxwede axaftin
mumbles	ˈməmbəl, berxwede axaftin
mumbling	verb, berxwede axaftin
murder	ˈmərdər, kûştin
murders	noun, kûştin
muscle	ˈməsəl, masûl
muscles	noun, masûl
museum	myo͞oˈzēəm, mûze
museums	noun, mûze
mushroom	-ˌro͝om,ˈməSHˌro͞om, kûvarik
mushrooms	noun, kûvarik
music	ˈmyo͞ozik, mûzîk
musical	ˈmyo͞ozikəl, mûsîqî
musician	myo͞oˈziSHən, mûsîqevan
musicians	noun, mûsîqevan
must	məst, mecbûrmayin
mustache	məˈstaSH,ˈməsˌtaSH, simêl
mustaches	noun, simêl
mustard	ˈməstərd, xerdel
mute	myo͞ot, bêdeng
mutual	ˈmyo͞oCHo͞oəl, beramberî
my	mī, ya min
mysteries	noun, sir
mysterious	məˈsti(ə)rēəs, pirdizî
mystery	ˈmist(ə)rē, sir
myth	miTH, çîrok
myths	noun, çîrok
nail	nāl, mîx
nails	noun, mîx
naked	ˈnākid, tazî
name	nām, nav
names	noun, nav
nap	nap, xew
napkin	ˈnapkin, desmal
napkins	noun, desmal
naps	nap, xew
narration	naˈrāSHən, gotûbêj
narrations	naˈrāSHən, gotûbêj
narrow	ˈnarō, teng
narrower	adjective, teng
narrowest	adjective, teng
nastier	ˈnastē, bed
nastiest	ˈnastē, bed
nasty	ˈnastē, bed
nation	ˈnāSHən, netewe
national	ˈnaSHənəl, netewî
nationalise	ˈnaSHənəˌlīz, komarkirin
nationalised	verb, komarkirin
nationalises	ˈnaSHənəˌlīz, komarkirin
nationalising	ˈnaSHənəˌlīz, komarkirin
nationalities	noun, niştimanî
nationality	ˌnaSHəˈnalitē, niştimanî
nationalize	ˈnaSHənəˌlīz, komarkirin
nationalized	verb, komarkirin
nationalizes	ˈnaSHənəˌlīz, komarkirin
nationalizing	ˈnaSHənəˌlīz, komarkirin
nationally	adverb, li hemû welat
native	ˈnātiv, welatî
natives	noun, welatî
natural	ˈnaCHərəl, xûriste
naturally	ˈnaCHərəlē, xuriste
nature	ˈnāCHər, xûrist
natures	ˈnāCHər, xûrist
nausea	-ZHə,ˈnôzēə, gewrîdanî
naval	ˈnāvəl, gemîwane
navel	ˈnāvəl, navik
navels	ˈnāvəl, navik
navies	noun, hêzên deryayî
navigate	ˈnaviˌgāt, rêserbirin
navigated	verb, rêserbirin
navigates	ˈnaviˌgāt, rêserbirin
navigating	verb, rêserbirin
navigation	ˌnaviˈgāSHən, rêserbirinî
navigations	ˌnaviˈgāSHən, rêserbirinî
navy	ˈnāvē, hêzên deryayî
near	ni(ə)r, nêz
nearly	ˈni(ə)rlē, hema hema
neat	nēt, serrast
neater	adjective, serrast
neatest	nēt, serrast
necessary	ˈnesəˌserē, pêwist
necessities	noun, pêwistî
necessity	nəˈsesətē, pêwistî
neck	nek, hûstû
necklace	ˈneklis, gerdan
necklaces	noun, gerdan
necks	noun, hûstû
need	nēd, pêwistbûn
needed	verb, pêwistbûn
needier	ˈnēdē, belengaz
neediest	ˈnēdē, belengaz
needing	verb, pêwistbûn
needle	ˈnēdl, derzî
needles	noun, derzî
needless	ˈnēdlis, nepêwist
needs	nēdz, pêwistbûn
needy	ˈnēdē, belengaz
negative	ˈnegətiv, nebaş
neglect	niˈglekt, gûhnedan
neglected	niˈglektid, gûhnedan
neglecting	verb, gûhnedan
neglects	niˈglekt, gûhnedan
negligence	ˈnegləjəns, balnedanî
negligent	ˈnegləjənt, gûhneda
negotiate	nəˈgōSHēˌāt, dozkirin
negotiated	verb, dozkirin
negotiates	nəˈgōSHēˌāt, dozkirin
negotiating	verb, dozkirin
negotiation	nəˌgōSHēˈāSHən, doz
negotiations	noun, doz
neighbor	ˈnābər, cînar
neighborhood	ˈnābərˌho͝od, cînarî
neighborhoods	noun, cînarî
neighbour	ˈnābər, cînar
neighbourhood	ˈnābərˌho͝od, cînarî
neighbourhoods	noun, cînarî
neither	ˈnēT͟Hər,ˈnī-, qet
nephew	ˈnefyo͞o, xwarzê
nephews	noun, xwarzê
nerve	nərv, tamar
nerves	noun, tamar
nervous	ˈnərvəs, rehok
nest	nest, hêlîn
nests	nest, hêlîn
net	net, tor
nets	noun, tor
neuter	ˈn(y)o͞otər, jinûmêr
neutral	ˈn(y)o͞otrəl, bêdeng
never	ˈnevər, qetcar
new	n(y)o͞o, nşh
newer	adjective, nşh
newest	adjective, nşh
news	n(y)o͞oz, nûçe
newspaper	ˈn(y)o͞ozˌpāpər, rojname
next	nekst, za pêş
nice	nīs, dilnerm
nicer	adjective, dilnerm
nicest	adjective, dilnerm
niece	nēs, xwarzê
nieces	noun, xwarzê
night	nīt, şev
nightmare	ˈnītˌme(ə)r, kabûs
nightmares	noun, kabûs
nights	nīts, şev
nine	nīn, neh
nines	noun, neh
nineteen	nīnˈtēn,ˈnīnˌtēn, nozdeh
ninety	ˈnīntē, nod
ninth	nīnTH, nehemîn
nipple	ˈnipəl, serê pêsîrê
nipples	noun, serê pêsîrê
no	nō, netû
no.	adjective, netû
nobody	-bədē,ˈnōˌbädē, nekes
nod	näd, serhejîn
nodded	verb, serhejîn
nodding	verb, serhejîn
nods	näd, serhejîn
noes	noun, na
noise	noiz, deng
noises	noun, deng
noisier	ˈnoizē, dengbilind
noisiest	ˈnoizē, dengbilind
noisy	ˈnoizē, dengbilind
nominate	, binavkirin
nominated	verb, binavkirin
nominates	, binavkirin
nominating	verb, binavkirin
none	nən, netû
none-	nən, netû
nonsense	ˈnänˌsens, vala
nonsenses	noun, vala
noodle	ˈno͞odl, şihîre
noodles	noun, şihîre
noon	no͞on, nîvroj
normal	ˈnôrməl, normal
normally	ˈnôrməlē, normalî
north	nôrTH, bakûr
northern	ˈnôrT͟Hərn, bakûrî
northwards	adverb, berbakûr
nose	nōz, poz
noses	nōz, poz
nosey	ˈnōzē, bimiraq
nosier	ˈnōzē, bimiraq
nosiest	ˈnōzē, bimiraq
nostril	ˈnästrəl, qûla poz
nostrils	noun, qûla poz
nosy	ˈnōzē, bimiraq
not	nät, ne
notable	ˈnōtəbəl, giring
notaries	ˈnōtərē, noter
notary	ˈnōtərē, noter
note	nōt, nivîsandin
notebook	ˈnōtˌbo͝ok, defter
noted	ˈnōtid, nivîsandin
notes	verb, nivîsandin
nothing	ˈnəTHiNG, netişt
notice	ˈnōtis, nivîsk
noticeable	ˈnōtisəbəl, têdît
notices	noun, nivîsk
notification	ˌnōtəfiˈkāSHən, agahdayin
notifications	noun, agahdayin
notified	verb, agahdan
notifies	ˈnōtəˌfī, agahdan
notify	ˈnōtəˌfī, agahdan
notifying	verb, agahdan
noting	verb, nivîsandin
notion	ˈnōSHən, fikr
notions	noun, fikr
notorious	nō-,nəˈtôrēəs, navbed
noun	noun, serbêje
nouns	noun, serbêje
nourish	ˈnə-riSH,ˈnəriSH, xwarin
nourished	verb, xwarin
nourishes	ˈnə-riSH,ˈnəriSH, xwarin
nourishing	ˈnə-ri-,ˈnəriSHiNG, xwediker
novel	ˈnävəl, roman
novels	noun, roman
novelties	noun, nûhî
novelty	ˈnävəltē, nûhî
November	nōˈvembər,nə-, mijdar
n o w	nou, niha
now	nou, niha
nowhere	ˈnōˌ(h)we(ə)r, ne litûder
nozzle	ˈnäzəl, qûlik
nozzles	ˈnäzəl, qûlik
nuclear	-kli(ə)r,ˈn(y)o͞oklēər, atomî
nude	n(y)o͞od, tazî
nuisance	ˈn(y)o͞osəns, qeher
nuisances	ˈn(y)o͞osəns, qeher
numb	nəm, pûç
number	ˈnəmbər, jimare
Numbers	ˈnəmbərz, jimare
numbers	noun, jimare
numeral	ˈn(y)o͞om(ə)rəl, jimar
numerals	noun, jimar
numerical	n(y)o͞oˈmerikəl, jimarî
numerous	ˈn(y)o͞om(ə)rəs, jimarzêde
nun	nən, ane
nuns	noun, ane
nurse	nərs, nexweşyare
nurseries	ˈnərs(ə)rē, dibistana daran
nursery	ˈnərs(ə)rē, dibistana daran
nurses	noun, nexweşyare
nursing	ˈnərsiNG, lênerrîn
nursing home	, lênerrîngeh
nut	nət, gûz
nutrition	n(y)o͞oˈtriSHən, kedî
oak	ōk, dara mazî
Oaks	noun, dara mazî
oaks	noun, dara mazî
oar	ôr, bêrik
oars	noun, bêrik
oath	ōTH, sond
oaths	noun, sond
oats	noun, dahno
obedience	ōˈbēdēəns, gûhliber
obedient	ōˈbēdēənt, berbal
obey	ōˈbā, gûhlêbûn
obeyed	verb, gûhlêbûn
obeying	verb, gûhlêbûn
obeys	ōˈbā, gûhlêbûn
obituaries	noun, bîranînî
obituary	ōˈbiCHo͞oˌerē, bîranînî
object	, liberrabûn
objected	verb, liberrabûn
objecting	verb, liberrabûn
objection	əbˈjekSHən, liberrabûnî
objections	əbˈjekSHən, liberrabûnî
objective	əbˈjektiv, berdest
objects	verb, liberrabûn
obligation	ˌäbliˈgāSHən, xwegirêdanî
obligations	noun, xwegirêdanî
obscene	əbˈsēn, nebaş
obscenities	noun, xerabî
obscenity	əbˈsenitē, xerabî
obscure	əbˈskyo͝or, nebellî
obscurer	adjective, nebellî
obscurest	əbˈskyo͝or, nebellî
observant	əbˈzərvənt, şopgirt
observation	ˌäbzərˈvāSHən, çavkirinî
observations	noun, çavkirinî
observe	əbˈzərv, şopgirtin
observed	verb, şopgirtin
observes	əbˈzərv, şopgirtin
observing	verb, şopgirtin
obsession	əbˈseSHən, aqilwindayî
obsessions	noun, aqilwindayî
obsessive	əbˈsesiv, cebrî
obsolete	ˌäbsəˈlēt, kevn
obstacle	ˈäbstəkəl, manî
obstacles	noun, manî
obstruct	äb-,əbˈstrəkt, pêşgirtin
obstructed	verb, pêşgirtin
obstructing	verb, pêşgirtin
obstruction	äb-,əbˈstrəkSHən, pêgirî
obstructions	noun, pêgirî
obstructs	äb-,əbˈstrəkt, pêşgirtin
obtain	äb-,əbˈtān, sitendin
obtainable	äb-,əbˈtānəbəl, têgirtin
obtained	verb, sitendin
obtaining	verb, sitendin
obtains	äb-,əbˈtān, sitendin
obvious	ˈäbvēəs, berçavan
obviously	ˈäbvēəslē, wekî dîyare
occasion	əˈkāZHən, fersend
occasionally	əˈkāZHənl-ē, caran
occasions	noun, fersend
occupation	ˌäkyəˈpāSHən, sinet
occupations	ˌäkyəˈpāSHən, sinet
occupied	ˈäkyəˌpīd, rûniştin
occupies	ˈäkyəˌpī, rûniştin
occupy	ˈäkyəˌpī, rûniştin
occupying	verb, rûniştin
occur	əˈkər, borîn
occurred	verb, borîn
occurrence	əˈkərəns, bûyer
occurrences	noun, bûyer
occurring	verb, borîn
occurs	verb, borîn
ocean	ˈōSHən, derya
October	äkˈtōbər, cotan
octopus	ˈäktəpəs, masîyê mirekebê
odd	äd, xwar
odder	äd, xwar
oddest	äd, xwar
odor	ˈōdər, bîn
odors	noun, bîn
odour	ˈōdər, bîn
odours	noun, bîn
of	əv, ji
off	äf,ôf, ji
offence	əˈfens, pelixandin
offences	noun, pelixandin
offend	əˈfend, êşandin
offended	əˈfendid, êşandin
offending	verb, êşandin
offends	əˈfend, êşandin
offense	əˈfens, pelixandin
offenses	əˈfens, pelixandin
offensive	, êriş
offer	ˈäfər,ˈôfər, pêşnîyarkirin
offered	verb, pêşnîyarkirin
offering	äf-,ˈôf(ə)riNG, pêşnîyarkirin
offers	verb, pêşnîyarkirin
office	ˈäf-,ˈôfis, dayre
officer	ˈäf-,ˈôfisər, serbaz
offices	noun, dayre
official	əˈfiSHəl, mamûr
officials	noun, mamûr
often	ˈäf-,ˈôf(t)ən, gelek car
oil	oil, dohnkirin
oiled	verb, dohnkirin
oilier	ˈoilē, dohnî
oiliest	ˈoilē, dohnî
oiling	verb, dohnkirin
oils	verb, dohnkirin
oily	ˈoilē, dohnî
ointment	ˈointmənt, merhem
ointments	ˈointmənt, merhem
old	ōld, kevn
older	adjective, kevn
oldest	adjective, kevn
olive	ˈäliv, zeytûn
olives	noun, zeytûn
omit	ōˈmit, berdan
omits	ōˈmit, berdan
omitted	verb, berdan
omitting	verb, berdan
on	än,ôn, li ser
once	wəns, carek
one	wən, yek
onion	ˈənyən, pîvaz
onions	noun, pîvaz
only	ˈōnlē, yekem
open	ˈōpən, vekirin
opened	verb, vekirin
opening	ˈōp(ə)niNG, dergeh
openings	ˈōp(ə)niNG, dergeh
openly	ˈōpənlē, gelî
opens	verb, vekirin
opera	ˈäp(ə)rə, opîra
operas	noun, opîra
operate	ˈäpəˌrāt, emelîkirin
operated	verb, emelîkirin
operates	verb, emelîkirin
operating	verb, emelîkirin
operation	ˌäpəˈrāSHən, karxane
operations	noun, karxane
operator	ˈäpəˌrātər, telefonvan
operators	noun, telefonvan
opinion	əˈpinyən, nerrîn
opinions	noun, nerrîn
opponent	əˈpōnənt, neyar
opponents	noun, neyar
opportunities	noun, fersend
opportunity	ˌäpərˈt(y)o͞onitē, fersend
oppose	əˈpōz, li dij şerkirin
opposed	əˈpōzd, li dij şerkirin
opposes	verb, li dij şerkirin
opposing	əˈpōziNG, li dij şerkirin
opposite	ˈäpəzit, dijhêl
opposition	ˌäpəˈziSHən, liberrabû
oppositions	ˌäpəˈziSHən, liberrabû
oppress	əˈpres, bindestkirin
oppressed	əˈprest, bindestkirin
oppresses	verb, bindestkirin
oppressing	verb, bindestkirin
oppression	əˈpreSHən, bindestî
oppressions	noun, bindestî
optical	ˈäptikəl, berçav
optician	äpˈtiSHən, neynikvan
opticians	noun, neynikvan
optimistic	ˌäptəˈmistik, hêvîmezin
option	ˈäpSHən, dibe
optional	ˈäpSHənl, bixwe
or	ôr, an
oral	ˈôrəl, devkî
orange	ˈär-,ˈôrənj, pirtoqal
oranges	noun, pirtoqal
orchestra	-ˌkestrə,ˈôrkistrə, koma muzîkê
orchestras	-ˌkestrə,ˈôrkistrə, koma muzîkê
order	ˈôrdər, destûrdan
ordered	verb, destûrdan
ordering	verb, destûrdan
orders	verb, destûrdan
ordinary	ˈôrdnˌerē, adî
ore	ôr, madenî
ores	ôr, madenî
organ	ˈôrgən, perçe
organisation	ˌôrgəniˈzāSHən, sazûman
