a	ئا
كوڕانە	فارسی:مردانه‌، شجاعانه
كوڕانی‌	فارسی:دو روستای علیا و سفلی در دروفرامان از توابع كرماشان
كوڕ بزا	فارسی:بیعرضـه‌‌، ترسو
كوڕزم كورزم‌	فارسی:لنگان لنگان، با سرافكندگی راه رفتن
كوڕزگ‌	فارسی:شكم‌ چران‌
كوڕ كەو ئەنداز	فارسی:امام‌ زادەای ‌در مادیدشت‌
كوڕكەچەڵ	فارسی:دا‌ستانی بسیار گیرا كه ‌قهرمان ‌اصلی آن‌ «پسر كچل‌» ا‌ست‌، اصل‌ واژه ‌هم‌ به‌ همین ‌معنا‌ست‌
كوڕكوڕ	فارسی:پرنده‌ی باقرقره، ‌در سكزی «كوركور ، كـَرَك‌» گویند
كوڕ كیەرْگ	فارسی:روستایی در گورّسفید از توابع گیلان غرب ‌
كوڕمیرووس‌	فارسی:١) بیدرنگ، فوری ٢) سكته‌ كردن‌، مرگ ‌آنی
كوڕنیشك‌	فارسی:آرنج‌
كوڕهەڵمەت‌	فارسی:شجاعانه ‌
كوڕهەڵمەت‌	فارسی:شجاعانه‌
كوڕە	فارسی:ای پسر
كوڕەرزا	فارسی:نوه ‌پسری
كوڕەكی	فارسی:١) جوان ‌توانا، كارآمد ٢) ساده ‌زیست‌، بی تشریفات‌
كوڕەمازێ	فارسی:اصیل‌، در دیگر گویشهای كردی «ره‌سه‌ن‌» گویند
كوڕەمبزان‌	فارسی:كوهی ‌در هلیلان‌
كوڕەمڕە	فارسی:خانەای ‌كه ‌پسر نابالغ‌ مردش‌ باشد و تـصمیم‌ بگیرد
كوڕەگان‌	فارسی:پسرها، ای پسرها
كوڕەگە	فارسی:ای پسر
كوڕەیل‌	فارسی:پسرها، ای پسرها
كوڕەیل‌ بجم‌	فارسی:همبستگی و اتحاد
كوڕپیا	فارسی:بزرگ ‌منش‌، مرد بزرگ ‌منش‌
كوڕگە	فارسی:نگا به‌لؤكه‌
كوڕی	فارسی:١) كلمه ‌راندن ‌كـُره ‌الاغ ٢‌) گوسفند گوش‌ كوتاه ٣‌) كـُره ‌الاغ‌
كوڕی بڕ	فارسی:نوعی ‌پوزه ‌بند كه ‌میخهایی در آن ‌فرو كرده‌اند تا حیوان‌ نتواند مادر را بمكد، نگا بڵامك‌
كوڕی خەر	فارسی:كـُره ‌الاغ‌
كوڕی سووفی	فارسی:گوسفند گوش‌ كوتاه ‌و آرام‌
كوڕیش‌	فارسی:١) گوسفند گوش‌ كوتاه ٢‌) موی جلوی پیشانی ‌را زدن ‌بطوری كه ‌پیشانی ‌برجسته‌تر نشان‌ داده‌ شود
كوڕی فڕی	فارسی:گیاهی‌ برای خوراك ‌دام‌
كوڕی قەڵە‌می	فارسی:گوسفند گوش ‌كوتاه اما ناآرام‌
كوڕی كەو	فارسی:نژادی از گوسفند با قدی كوتاه ‌و رنگ ‌تقریباً كبود
كوڕی كەژەڵ	فارسی:نژادی از گوسفند با قدی كوتاه ‌و پوزه‌ ‌سفید
كوڕی وڕ	فارسی:نگا كوڕی بڕ
كوڕی‌ زاخە	فارسی:روستایی در دینور
كوژ	فارسی:١) پسوند به‌ معنی ‌كشنده ٢‌) خاموش‌ كردن‌
كوژانن‌	فارسی:خاموش‌ كردن‌
كوژانەو	فارسی:خاموش‌ كرد
كوژان‌	فارسی:خاموش‌ كرد
كوژتن‌	فارسی:كشتن‌
كوژكوژی	فارسی:نگا قوژ قوژی
كوژە	فارسی:بیماری‌ احشام‌
كوژە كردن‌	فارسی:دچار بیماری ‌شدن بویژه‌ برای احشام‌
كوژەك‌	فارسی:١) روستایی در سرفیروز آباد از توابع مادیدشت ٢) مهره‌ ‌زینتی‌
كوژگە	فارسی:نگا قوژگه ‌و تركیباتش‌
كوژیا	فارسی:كشته ‌شد
كوژیان‌	فارسی:كشته ‌شدن‌
كوژیاگ‌	فارسی:كشته ‌شده‌
كوژیاێ	فارسی:كشته‌ شده‌
كوڵبڕ	فارسی:١) مفید و مختـصر ٢) راه‌ میانبر
كوڵبڕ كردن‌	فارسی:١) میانبر زدن‌ ٢) مختـصر و مفید سخن‌ گفتن‌، خلاصـه‌ ‌گویی كردن‌
كوڵ خواردن‌	فارسی:جوش‌ آمدن‌ آب‌
كوڵ دان‌	فارسی:١) نگا كوڵه‌‌نان‌ ٢) جوش‌ آمدن‌ آب‌
كوڵفەت‌	فارسی:كنیز، كلفت‌، نگا كڵفه‌ت ‌و تركیباتش‌
كوڵ كردن‌	فارسی:١) كوتاه‌ كردن‌ ٢) كمین ‌كردن‌
كوڵكنە	فارسی:پشمالو
كوڵكن‌	فارسی:پشمالو
كوڵكە	فارسی:پشم زیر شكم‌ گوسفندان ‌كه ‌آنرا نمی چیدند و سهم ‌چوپان ‌ا‌ست ‌و چوپان ‌در ازای مبلغی آنرا می ‌فروشد‌
كوڵمـْك	فارسی:ا‌ستخوان ‌باسن‌
كوڵم‌	فارسی:تفرجگاهی در ایوان غرب‌
كوڵنەت‌	فارسی:مشک کهنه‌ و بی مـصرف‌
كوڵن‌	فارسی:آبپز، با آب‌ پخته‌ شده‌
كوڵهەلمەت‌	فارسی:راه ‌بی پیچ ‌وخم‌
كوڵەل	فارسی:روستایی در كاكوند، نام دیگر این روستا میرمینگه‌ است
كوڵەی كوڵ	فارسی:زایمان‌ سخت‌، زائویی كه به دشواری ‌زایمان ‌كند
كوڵە‌با	فارسی:باد سرد
كوڵە‌باڵ	فارسی:نیم‌ تنه ‌نمدی بی آ‌ستین‌
كوڵە‌جریتـْگ	فارسی:كوتاه‌ قد ، كوتوله‌
كوڵە‌جوو	فارسی:١) روستایی در اسلام آباد غرب‌ ٢) روستایی در هرسین ‌٣) شش روستا‌ در گیلانغرب با اسامی كوله ‌جو كیانی، كوله‌جو علیا و سفلی و وسـطی، كوله‌جو كر‌می، كوله‌جو اسفندیاری ٤‌) روستایی در سرفیروزآباد از توابع مادیدشت ٥) روستایی در سومار ٦) روستایی در دینور
كوڵە‌خرپن‌	فارسی:كوتاه‌ قد و چاق‌
كوڵە‌زەڕین‌	فارسی:كوتاه ‌وزیبا روی‌
كوڵە‌سؤك‌	فارسی:پستو، گوشه ‌ساكت‌ و آرام‌
كوڵە‌شـْك	فارسی:١) روستایی در چله از توابع گیلانغرب‌ ٢) گیاه‌ ترتیزك ‌آبی‌ ٣) آنكه ‌همیشه‌ شكاك‌ ا‌ست‌
كوڵە‌ش‌	فارسی:١) گـُرگاز ٢) كاه ‌وكولش ٣‌) نامی‌ برای‌ سگ‌ ٤) فـضول‌، دورو
كوڵە‌فسكی	فارسی:نگا كوڵه‌‌پسكی
كوڵە‌فسی	فارسی:نگا كوڵه‌‌پسكی
كوڵە‌فڕ	فارسی:بلدرچین‌
كوڵە‌قنجی	فارسی:كوتاه ‌قد و زیبا روی
كوڵە‌ كووزەر	فارسی:كنایه ‌از كوتاه‌قد
كوڵە‌كوڵ	فارسی:جوشیدن ‌آب‌
كوڵە‌كوڵە‌	فارسی:١) مكان‌ به‌ مكان ٢‌) دسته‌ دسته‌، گروه ‌گروه‌
كوڵە‌مار	فارسی:نوعی ‌افعی
كوڵە‌ مرخان‌	فارسی:جای‌ گرم ‌ونرم‌
كوڵە‌مەیتەر	فارسی:١) وردست‌ مهتر، پادوی مهتر ٢) كنایه‌ از لباس‌ تنگ‌ وكوتاه‌، چون ‌لباس‌ وردست ‌مهتر كوتاهتر و تنگتر ا‌ست‌
كوڵە‌میرە	فارسی:نگا خوڵه‌‌میره‌
كوڵە‌میقن‌	فارسی:كوتاه ‌قد و بد نمود
كوڵە‌نان‌	فارسی:محل‌ نگهداری مشك‌ آب‌
كوڵە‌نجە	فارسی:یلك آ‌ستین ‌دار زنانه‌
كوڵە‌نجی	فارسی:١) عقرب‌ ٢) هزار پا
كوڵە‌نشین‌	فارسی:كمین ‌كننده‌
كوڵە‌نەت‌	فارسی:مشك‌ كهنه ‌و غیر قابل‌ ا‌ستفاده‌
كوڵە‌هەفی	فارسی:نوعی‌ افعی
كوڵە‌هەڵمەت‌	فارسی:راه ‌را‌ست‌ ومستقیم‌، صراط ‌مستقیم‌
كوڵە‌ وه ‌كوڵە‌	فارسی:كمین ‌به‌كمین‌، مكان‌ به‌مكان‌
كوڵە‌وەن‌	فارسی:نگا كه‌ڵه‌‌وه‌ن‌
كوڵە‌پا	فارسی:١) روستایی در ویژنان از توابع گیلانغرب ٢‌) روستایی در شیان از توابع اسلام آباد غرب ٣) روستایی در سنقر ٤) یکی از تیره‌های ایل کلهر‌
كوڵە‌پسكی	فارسی:چمان چمان ‌و دزدكی نزدیك ‌شدن‌
كوڵە‌پسی	فارسی:‌خمیده ‌ودزدكی نزدیك ‌شدن‌
كوڵە‌پیر	فارسی:نگا كوڵپیر
كوڵە‌ژ	فارسی:١) گـُرگاز ٢) نوعی‌ افعی
كوڵوانـْْك	فارسی:‌پوشش‌ بلند زنان ‌گوران‌، در دیگر گویشهای كردی « كۆ‌ڵوانه‌، چارۆ‌كه‌، چاره‌كه‌» گویند
كوڵ وكوو	فارسی:١) غم ‌واندوه ٢‌) جوش‌ و غلیان ‌آب‌
كوڵ و كووتا	فارسی:مختـصر و مفید، موجز
كوڵ وكوو دامردن‌	فارسی:كاملا سوختن‌ و خاكستر شدن‌
كوڵ وكوڵبڕ	فارسی:مختـصر و مفید، موجز
كوڵوەژ	فارسی:نگا په‌نگركیش‌
كوڵوُ	فارسی:كلوخ‌، در لاتین (clod) گویند
كوڵوُخوەرده	فارسی:سر خورده‌، سركوفت شده‌، منكوب ‌شده‌
كوڵوُخوەردە كردن	فارسی:سرخورده‌ كردن‌، منكوب‌ كردن‌
كوڵوُك	فارسی:١) قسمت‌ انتهایی و چوبین‌ بلوط‌ ٢) ا‌ستخوان ‌باسن‌
كوڵوُكه	فارسی:قسمت ‌انتهایی و چوبین ‌بلوط‌
كوڵوُل	فارسی:نگا كڵووڵ
كوڵوُم	فارسی:‌١) كلوخ ٢‌) كلون ‌در
كوڵوُمه	فارسی:كلوخ‌، نگا كوڵوُ
كوڵوُڵ كردن‌	فارسی:نگا كڵووڵ كردن‌
كوڵوُڵی	فارسی:بیچار‌گی
كوڵپە	فارسی:١) شعله ‌آتش‌ ٢) توده‌ی ابر
كوڵپچـْگ	فارسی:قـُنداق ‌نوزاد
كوڵ پیر	فارسی:پیر و حیله ‌گر، صفتی‌ برای ‌زن‌
كوڵپێچـْگ	فارسی:قـُنداق‌
كوڵ‌كوڵ	فارسی:١) روستایی در گیلانغرب‌ ٢‌) روستایی در سنقر
كویخا	فارسی:نگا قؤخا
كویخای	فارسی:١) نگا قؤخا ٢) خواستگاری‌
كوین‌	فارسی:كون‌، مقعد
كْ	فارسی:١) پسوند به ‌معنی ‌برای ‌اینكه ٢‌) پسوند تـصـغر ٣) كه‌
كپا بؤن‌	فارسی:پـُر شدن‌، مسدود شدن‌
كپا كردن‌	فارسی:پـُر كردن‌، مسدود كردن‌
كپانن‌	فارسی:بی صدا كردن، خاموش‌ كردن‌ همهمه‌
كپنە	فارسی:جای كیپ ‌و بی صدا
كپْ رپ	فارسی:كاملا بی صدا، بدون‌ درز و شكاف‌
كپی	فارسی:١) بی صدا شد ٢) آرام‌ شد
كپیا	فارسی:نگا كپی
كپیاس‌	فارسی:١) بی صدا شده‌ ا‌ست ٢‌) آرام ‌شده ‌ا‌ست‌
كپیان‌	فارسی:١) بی صدا شدن‌ ٢) آرام ‌شدن‌
كپیاگ‌	فارسی:مسدود شده‌
كپیاێ	فارسی:نگا كپیاگ‌
كپ‌	فارسی:١) كیپ‌، مسدود ٢) مكان‌ آرام ‌و بی گزند ٣) بی صدا ٤) من‌ من ‌كردن ‌در گفتار و خاموش‌ شدن‌ ٥) پـُر كردن ‌و محو كردن‌ سوراخ ‌و...
كپ‌ بؤن‌	فارسی:‌١) پـُر شدن‌، مسدود شدن‌ ٢) بی صدا شدن‌
كپ‌ كردن‌	فارسی:١) نگا كپانن ‌٢) مسدود كردن‌، پـُر كردن‌
كچانن‌	فارسی:از دور بازی ‌خارج ‌كردن‌
كچی	فارسی:عمه‌، خواهر پدر
كچیا	فارسی:سوخت‌، از دور بازی‌ خارج ‌شد
كچیاس‌	فارسی:از دور بازی‌ خارج ‌شده
كچیان‌	فارسی:از دور بازی ‌خارج ‌شدن‌
كچیاگ‌	فارسی:از دور بازی ‌خارج ‌شده‌
كچیاێ	فارسی:از دور بازی ‌خارج‌ شده‌
كچی زا	فارسی:فرزند عمه‌
كڕ	فارسی:١) خاموش‌، بی صدا ٢) مرغ ‌كـُرچ‌ ٣) خـط ٤‌) پسوند زدودن‌ ٥) در پناه ٦‌) ریشه ‌فعل‌ «كڕانن‌» ٧) خاراندن‌ ٨) حالتی ‌از راه ‌رفتن‌
كڕؤكە	فارسی:بیماری حـصبه‌‌
كڕؤكەمانە	فارسی:بیماری حـصبه‌‌
كڕاشك‌	فارسی:شوره‌ی سر
كڕاننەوە	فارسی:١) پاكسازی ‌كردن ٢‌) نامنظم ‌چرانیدن ‌گله ‌در مرتع‌ و در حالی که هنوز گیاه کافی برای چرا دارد به مرتع دیگر بردن
كڕانن‌	فارسی:١) كشیدن ‌باری بر روی ‌زمین ٢‌) خراشیدن‌ ٣) زدودن‌
كڕ بؤن‌	فارسی:١) كـُرچ ‌شدن‌مرغ‌ ٢) خاموش‌ شدن‌ ٣) كنایه ‌از تنبل‌
كڕ بڕین‌	فارسی:١) بارش‌ باران بگونەای ‌بگویند «په‌ڵه‌‌» داده ٢‌) پا را فراتر از حد معمول‌ گذاشتن‌
كڕ كەفتن‌	فارسی:١) كـُرچ ‌شدن‌ مرغ‌ ٢) كنایه‌ از خوابیدن ‌در خانه‌ و تن ‌پروری
كڕكڕاكە	فارسی:١) غـضروف‌، نگا خرتنه‌ك‌ ٢) سرخنای ٣) غـضروف‌ بناگوش‌
كڕكڕە	فارسی:١) ته ‌دیگ‌ ٢) هوای مه‌آلود و بارانی‌
كڕكڕەمزێ	فارسی:هوای بسیار مه ‌آلود و بارانی‌
كڕكڕەی ‌سەی ‌دەوریش	فارسی:روستایی در سنجابی از توابع كرماشان
كڕكڵاش‌	فارسی:١) نگا نؤچه‌ نؤچ‌ ٢) خاراندن‌ ٣) پردازش ‌و پرداخت‌ كردن ‌چوب‌
كڕموُچ	فارسی:خـطـی بدور چیزی ‌‌كشیدن ‌و موچ ‌كشیدن ‌به ‌دور آن ‌به منظور دفع چشم‌ زخم‌
كڕناس‌	فارسی:خسیس‌
كڕنـْك	فارسی:نگا كڕنه‌ك‌
كڕنەك‌	فارسی:حشرەای شبیه ‌گنه ‌كه ‌در پشم زیر شكم‌ گوسفندان ‌زندگی‌ می‌كند
كڕە	فارسی:١) كـُرچ ‌شدن ‌مرغ ٢‌) كنایه‌ از نداری و پیسی ٢) صدای‌ اصطحکاك‌ دو جسم زیر
كڕەكڕ	فارسی:صدای‌ « كڕ»ی پیاپی
كڕْ داوْت	فارسی:خدا نكند که...، اصل‌ واژه به‌ معنی‌ «خـط ‌محافظ‌ داود» ا‌ست‌
كڕْداوْت‌ وەدەورْد	فارسی:داود نگهبان ‌تو باد، از بلا دور باشی، داود یا «داو کەو سووار» منظور دیاکۆ بنیانگذار حکومت مدیا است
كڕْكاڕ	فارسی:صدای‌ «كڕ»ی پیاپی
كڕْكسافەت‌	فارسی:آت ‌آشغال‌
كڕْكپ‌	فارسی:١) بی صدا‌، خاموش‌ ٢) پستوی ساكت ٣‌) بدون ‌سوراخ‌
كڕْكپ‌ بؤن‌	فارسی:بی صدا شدن‌
كڕْكپ‌ كردن‌	فارسی:١) بی صدای‌ كردن، ساکت کردن ٢‌) بستن ‌سوراخ ‌و ...
كڕگە زەمینی	فارسی:نگا كڕگه‌ی
كڕگەی	فارسی:‌ضربه‌ زمینی ‌بگونەای ‌كه ‌با زمین‌ تماس‌ داشته‌ باشد
كڕڵە‌	فارسی:صم ‌و بكم‌، كر ولال‌
كڕی	فارسی:١) كـُرچ ‌شدن ‌مرغ ٢‌) خرید
كڕیا	فارسی:١) خریداری شد ٢) برخوردی ناچیز داشت‌، مالیده ‌شد
كڕیار	فارسی:خریدار
كڕیاپێیا	فارسی:مالیده ‌شد، بر خورد داشت‌
كڕین‌	فارسی:خریدن
كڕیوە	فارسی:١) كولاك ٢) غوغا کردن، گل کردن ، یکه تازی کردن
كڕیوه ‌كردن‌	فارسی:١) كولاك ‌كردن ٢‌) كنایه ‌از یكه ‌تازی ‌كردن‌، غوغا كردن‌
كڕەمزێ	فارسی:هوای مەآلود
كژؤژ	فارسی:خسیس‌
كژؤژی	فارسی:خسیسی
كژاژی	فارسی:خسا‌ست‌، خسیسی
كڵ	فارسی:١) سـُرمه ‌كشیدن ‌بر چشم‌، سرمه‌، درفرانسوی (khol) و (kohol) و در عربی‌ «كحل‌» گویند ٢) خاكستر ٣) دود اندود كردن ‌مشك ‌با دود ناشی ‌از مـطبخ ٤‌) هلهله‌ ٥) زغال ‌افروخته‌
كڵاسك‌	فارسی:آهوی نر
كڵاس‌	فارسی:آهوی نر، ماده‌اش‌ را «ماس‌، ماسك‌» گویند
كڵاشتە	فارسی:خراشیده ‌شده‌
كڵاشكەر	فارسی:«كڵاش‌» ساز
كڵاشك‌	فارسی:روستایی در چله ‌گیلانغرب‌
كڵاشە	فارسی:تراشه ‌چوب‌
كڵاشچنین‌	فارسی:بافتن گیوه‌
كڵاشچن‌	فارسی:نوعی بافتن ‌ویژه‌ «كڵاش‌»
كڵاشی	فارسی:روستایی در سرپـُل ‌ذهاب‌
كڵاشیا	فارسی:خراشیده ‌شد
كڵاشیان‌	فارسی:خراشیده ‌شدن‌
كڵاشیاگ‌	فارسی:خراشیده ‌شده‌
كڵاشیاێ	فارسی:خراشیده ‌شده‌
كڵاشین‌	فارسی:خراشیدن‌
كڵاش‌	فارسی:١) نوعی گیوه ٢‌) ریشه ‌فعل «كڵاشین‌» به ‌معنی ‌خراشیدن‌
كڵاش ‌داین‌	فارسی:با «كلاش‌» ضربه ‌زدن ‌به ‌مادینه‌ی میشی كه ‌دوباره ‌جفتخواه شده‌ تا بترسد و به حالت اولیه‌ی خود برگردد
كڵافە	فارسی:كلاف‌ نخ‌
كڵافه ‌كردن‌	فارسی:كلاف‌ كردن ‌نخ‌
كڵاف‌	فارسی:كلاف ‌نخ‌
كڵاو	فارسی:كلاه‌
كڵاوان‌	فارسی:قله ‌كوهها
كڵاو بوور	فارسی:دیكتاتور، مستبد
كڵاو تەرەكیان‌	فارسی:خشمگین ‌شدن‌
كڵاودریژ	فارسی:سه روستای علیا و سفلی و وسـطـی در چله از توابع گیلانغرب
كڵاو زەڕی	فارسی:كلاه‌زنانه
كڵاوشەبقە	فارسی:كلاه‌ لبه ‌دار
كڵاوشەڵقە	فارسی:كلاه‌ لبه‌دار
كڵاو فەرەنگی	فارسی:كلاه ‌لبه ‌دار
كڵاوكەر	فارسی:روستایی در سر پـُل‌ ذهاب‌
كڵاوكەوە	فارسی:نام روستایی در روانسر
كڵاوكەو‌	فارسی:سه روستا ‌در ناودرون
كڵاوكڵاو	فارسی:١) بازیی ‌ا‌ست ٢‌) اصطلاحاً باریدن ‌پـُرپشت‌ برف ‌گویند
كڵاونە	فارسی:پرندەای ‌ا‌ست ‌شبیه ‌بلدرچین‌
كڵاو وه ‌سەر نان‌	فارسی:فریفتن‌
كڵاوپان‌	فارسی:١) روستایی در سرپـُل‌ذهاب ٢‌) متشخـص‌، محترم‌
كڵاوچن‌	فارسی:بافنده ‌كلاه‌
كڵاوڕووانەكی	فارسی:١) كنایه ‌از فرصتهای ‌گذرای زندگی ٢‌) بازیی‌ ا‌ست‌ كه‌ در آن ‌دو دسته ‌شركت‌ دارند یك‌ گروه به ‌حالت ‌نشسته ‌و گروه ‌دیگر سر پا ایستاده‌ و دسته ‌سرپایی بایستی دست‌ خود را برسر یكی ‌از نشستگان ‌بزند و تا فاصله‌ای ‌كه ‌قبلاً تعیین ‌شده‌ بدود و دسته ‌نشسته ‌بایستی با پا دسته ‌مقابل‌ را بزند، در سكزی‌‌ «كلا چـَل‌ چـَل‌» گویند
كڵاوڕەشان	فارسی:نام روستایی در جوانرود
كڵ دان‌	فارسی:‌١) بر چشم‌ سرمه ‌كشیدن ٢‌) اندود كردن ‌ساج ‌برای ‌پختن ‌نان‌
كڵفەتبار	فارسی:عایله‌مند
كڵفەت‌	فارسی:١) كنایه ‌از عایله‌ ٢) كنیز، كلفت‌
كڵفەت‌ دار	فارسی:١) عیالوار ٢) خانەای ‌كه ‌كلفت ‌وكنیز داشته ‌باشد
كڵكاف‌	فارسی:١) کنایه از كوچك‌ ٢) بر درخت ‌مازو كه ‌از گردو كوچكتر ا‌ست ‌و پودر قهوەای ‌رنگی در آن ‌ا‌ست ‌و برای ‌التیام‌ زخم‌ بویژه ‌برای ‌چهار پایان ‌مناسب‌ ا‌ست‌
كڵكان‌مرا	فارسی:به ‌كلی سوختن و خاكستر شدن‌
كڵكوو دامردن‌	فارسی:سوختن و خاكستر شدن‌
كڵكڵە‌	فارسی:١) نگا كووچیل‌ ٢) هلهله ‌كردن‌ ٣) غم‌ و اندوه‌، آشفتگی
كڵكڵه ‌‌مؤشان‌	فارسی:تار عنكبوت‌
كڵكڵە‌مێش‌	فارسی:عنكبوت‌
كڵ كیشان‌	فارسی:١) سرمه‌ كشیدن ‌برچشم‌ ٢) هلهله‌ كردن‌
كڵك‌	فارسی:١) بهره ‌بردن ٢‌) كـُرك‌
كڵمن‌	فارسی:چـُلمن‌، خلمو
كڵمە	فارسی:همیاری دادن ‌بویژه‌ در كار برداشت‌ محـصول‌
كڵموو	فارسی:چـُلمن‌
كڵم‌	فارسی:آب ‌بینی
كڵناشـْگ‌	فارسی:ساقه‌های ‌خشك‌ شده ‌گیاهان‌ بویژه‌ كنگر که همراه باد جابجا می‌شود
كڵە‌شێر	فارسی:خروس‌، در دیگر گویشهای كردی «دیكل‌، دیقل‌، كه‌ڵه‌‌باب‌» گویند
كڵە‌هوویی	فارسی:١) از مقامهای ‌مور لكی ٢) مقام ‌هووره، کلەاهورایی، کلهری‌
كڵووك‌	فارسی:١) نگا قوڵچووخ‌ ٢) كفل‌ چهارپایان ٣‌) كلون ‌در
كڵووم‌	فارسی:١) كلوخ‌ ٢) كلون ‌در
كڵووڵ	فارسی:١) پوست ‌قسمت ‌دست ‌یا پای مشك ٢‌) درمانده‌، ناتوان ٣‌) میان ‌تهی
كڵووڵ كردن‌	فارسی:اگر یكی ‌از گوشه‌های ‌مشك‌ سوراخ ‌یا پاره‌ شود آنرا بریده ‌و ‌می‌دوزند این ‌كار را «كڵوڵ كردن‌» گویند
كڵپە	فارسی:شعله ‌آتش‌
كڵپەكڵپ‌	فارسی:صدای ‌پیاپی شعله ‌آتش‌
كڵ چەو	فارسی:سرمه‌ زدن‌
كڵ چەو دان‌	فارسی:سرمه‌ كشیدن‌
كڵ چەو كیشان‌	فارسی:سرمه ‌كشیدن‌
كڵڵە‌	فارسی:خوابیدن‌
كڵیسك‌	فارسی:شكم ‌چران‌
كڵ ‌كووشك	فارسی:نام روستایی در هوزمانوند
كۆللوور	فارسی:میان ‌تهی
كۆمەرە	فارسی:روستایی در پاوه
كۆ‌برا	فارسی:١) مار كبرا ٢) نامی ‌زنانه‌
كۆ‌خا	فارسی:نگا قؤخا
كۆ‌خای	فارسی:١) بزرگ منشی ٢) مراسم خواستگاری‌
كۆ‌ركە	فارسی:١) چند بغل‌ ازغلات ‌درو شده ‌و دسته ‌شده ٢‌) ناله‌، نالیدن ٣‌) نگا قوژگه ‌كردن ‌٤) موی بز
كۆ‌رە	فارسی:نگا كوریه‌
كۆ‌متن‌	فارسی:كسی‌ كه ‌لنگان ‌لنگان ‌راه ‌می‌رود
كۆ‌متەكۆ‌مت‌	فارسی:لنگان ‌لنگان‌ راه رفتن‌
كۆ‌مـْزه	فارسی:میوه‌ی نارس‌
كۆ‌مەكین‌	فارسی:شیراز، دوغ‌ چكیده‌
كۆ‌مپلت‌	فارسی:همگی، به‌ كلی، در لاتین‌ (complete) گویند
كۆ‌میت‌	فارسی:اسب ‌قهوەای‌ رنگ‌
كۆ‌پەر	فارسی:آماسی یا ورمی كه ‌در اثر ضربه ‌خوردن ‌در اندام ‌بوجود می‌آید
كۆ‌پ‌	فارسی:فنجان‌، در لاتین‌ (kap) گویند
كۆ‌چەری	فارسی:روستایی در سرپـُل ذهاب‌
كۆ‌ژؤژ	فارسی:خسیس‌
كۆ‌ییك ‌سەیفووری	فارسی:روستایی در سرپـُل‏ ‌ذهاب
كۆ‌ییك ‌قؤخاحەسەن‌	فارسی:روستایی در سرپـُل‏ ‌ذهاب
كۆ‌ییك ‌قؤخاشوكۆ‌ر	فارسی:روستایی در سرپـُل‏‌ ذهاب ‌
كۆ‌ییك ‌مەجید‌	فارسی:روستایی در سرپـُل‏ ‌ذهاب
كی	فارسی:١) كی، چه ‌كسی‌ ٢) پسوند بازی‌
كیانا	فارسی:فرستاد
كیا‌ستن‌	فارسی:١) فرستادن ٢‌) سفارش‌ كردن‌
كیتەڵە‌	فارسی:دیگ ‌كوچك‌
كیخاهی	فارسی:١) خواستگاری ٢‌) كدخدایی
كیر	فارسی:آلت ‌تناسلی مرد
كیرتاو	فارسی:كنایه‌ از طمع‌ و بیقراری ‌برای‌ چیزی‌‌
كیرتاو كردن‌	فارسی:طمع‌ ‌خام‌ داشتن‌، خیال‌ واهی پروراندن‌
كیرتێژ كردن‌	فارسی:طمع‌ خام ‌داشتن‌
كیرخوڵووك‌	فارسی:نگا گیه‌ڵه‌ خوه‌ره‌
كیره ‌زەقی	فارسی:كنایه ‌از عشق‌ و عاشقی، هوسبازی‌
كیرەكیر	فارسی:كنایه ‌از پر رویی و گستاخی
كیرەوڵ	فارسی:پوست ‌روی ‌آلت ‌تناسلی حیوانات‌
كیرووكە	فارسی:ساقه ‌گیاهانی چون ‌كلم ‌و كاهو
كیرگە خەرانە	فارسی:گیاهی ‌ا‌ست‌
كیرگە كوڵە‌ژوو	فارسی:بازیی ‌ا‌ست‌
كیرگە کەرانە	فارسی:گیاهی ‌ا‌ست‌
كیسـْگ	فارسی:خورجین‌
كیسە	فارسی:١) كیسه‌ ٢) كیسه‌ حمامی
كیسەبڕ	فارسی:دزد
كیسەكەش‌	فارسی:كیسه‌كش‌ حمام‌
كیسەڵ	فارسی:سنگ ‌پشت‌، لاک‌پشت، در دیگر گویشهای كردی «كێسو، كووس‌، كیسی، كسل‌، كه‌سه‌، كووسی، كووسه‌ل‌، كووسه‌له‌» گویند و در اوستا (kesyepe كسیه‌په‌) نوشته ‌شده‌
كیسەڵە‌	فارسی:١) نوعی ‌سن‌ آفت ‌مزارع ٢‌) غده ‌سفید رنگ ‌و چركی روی جگر احشام‌ ٣) روستایی در ثلاث باباجانی ٤‌) روستایی در سنقر
كیسەڵ پا	فارسی:١) كند پا ٢) پا گنده‌
كیسەڵ گون‌	فارسی:نگا گیزه‌ڵ گون‌
كیس‌	فارسی:١) از دست‌ رفتن‌ ٢) هرچه ‌بادا باد
كیس ‌كردن‌	فارسی:ریسك ‌كردن، نترسیدن‌
كیشا	فارسی:١) وزن ‌كرد ٢) جابجا كرد ٣) كشید ٤) تحمل ‌كرد، بسر برد ٥) آختن ‌چاقو ٦) نقاشی ‌كشیدن ٧‌) سبقت‌ گرفتن ٨‌) كشیدن‌ دندان‌
كیشاد	فارسی:نگا كیشا
كیشادا	فارسی:بر كشید
كیشادان‌	فارسی:١) آنها را كشید ٢) نقاشی ‌كرد ٣) آنها را وزن‌ كرد ٤) آنها را بركشید
كیشادەو	فارسی:بر كشید
كیشادەی	فارسی:١) آنرا وزن ‌كرد ٢) آنرا نقاشی ‌كرد ٣) آنرا بر كشید
